New_ID,input,output
1,.,"[('.', 'o')]"
2,bra quality was not good.,"[('bra', 'o'), ('quality', 'o'), ('was', 'o'), ('not', 'o'), ('good', 'o'), ('.', 'o')]"
3,how	she	did	not	know	anything	and	she	lied	about	know	her	job	..,"[('how', 'o'), ('she', 'staff'), ('did', 'o'), ('not', 'o'), ('know', 'o'), ('anything', 'o'), ('and', 'o'), ('she', 'staff'), ('lied', 'o'), ('about', 'o'), ('know', 'o'), ('her', 'o'), ('job', 'o'), ('..', 'o')]"
4,"she	helped	me	with	my	outfit	choice	,	found	my	size	,	and	even	added	on	a	sale	item	..","[('she', 'o'), ('helped', 'o'), ('me', 'o'), ('with', 'o'), ('my', 'o'), ('outfit', 'o'), ('choice', 'o'), (',', 'o'), ('found', 'o'), ('my', 'o'), ('size', 'size'), (',', 'o'), ('and', 'o'), ('even', 'o'), ('added', 'o'), ('on', 'o'), ('a', 'o'), ('sale', 'mktgpromo'), ('item', 'o'), ('..', 'o')]"
5,ordered	fit	well	but	every	time	i	order	to	my	store	i	never	get	an	email	saying	my	order	has	come	in	i	get	emails	says	it	had	shipped	but	never	get	an	email	about	arrival	i	always	have	to	call	to	see	if	my	items	have	showed	up	it	is	frustrating	to	get	emails	about	every	sale	but	never	your	order	has	arrived	and	i	have	spent	over	$	800	at	lane	bryant	i	the	past	3	years	..,"[('ordered', 'o'), ('fit', 'size'), ('well', 'o'), ('but', 'o'), ('every', 'o'), ('time', 'o'), ('i', 'o'), ('order', 'o'), ('to', 'o'), ('my', 'o'), ('store', 'store'), ('i', 'o'), ('never', 'o'), ('get', 'o'), ('an', 'o'), ('email', 'o'), ('saying', 'o'), ('my', 'o'), ('order', 'o'), ('has', 'o'), ('come', 'o'), ('in', 'o'), ('i', 'o'), ('get', 'o'), ('emails', 'o'), ('says', 'o'), ('it', 'o'), ('had', 'o'), ('shipped', 'o'), ('but', 'o'), ('never', 'o'), ('get', 'o'), ('an', 'o'), ('email', 'o'), ('about', 'o'), ('arrival', 'o'), ('i', 'o'), ('always', 'o'), ('have', 'o'), ('to', 'o'), ('call', 'o'), ('to', 'o'), ('see', 'o'), ('if', 'o'), ('my', 'o'), ('items', 'o'), ('have', 'o'), ('showed', 'o'), ('up', 'o'), ('it', 'o'), ('is', 'o'), ('frustrating', 'o'), ('to', 'o'), ('get', 'o'), ('emails', 'o'), ('about', 'o'), ('every', 'o'), ('sale', 'mktgpromo'), ('but', 'o'), ('never', 'o'), ('your', 'o'), ('order', 'o'), ('has', 'o'), ('arrived', 'o'), ('and', 'o'), ('i', 'o'), ('have', 'o'), ('spent', 'o'), ('over', 'o'), ('$', 'o'), ('800', 'o'), ('at', 'o'), ('lane', 'o'), ('bryant', 'o'), ('i', 'o'), ('the', 'o'), ('past', 'o'), ('3', 'o'), ('years', 'o'), ('..', 'o')]"
6,orderedfitwellbuteverytimeiordertomystoreinevergetanemailsayingmyorderhascomeinigetemailssaysithadshippedbutnevergetanemailaboutarrivalialwayshavetocalltoseeifmyitemshaveshowedupitisfrustratingtogetemailsabouteverysalebutneveryourorderhasarrivedandihavespentover$800atlanebryantithepast3years..,"[('orderedfitwellbuteverytimeiordertomystoreinevergetanemailsayingmyorderhascomeinigetemailssaysithadshippedbutnevergetanemailaboutarrivalialwayshavetocalltoseeifmyitemshaveshowedupitisfrustratingtogetemailsabouteverysalebutneveryourorderhasarrivedandihavespentover', 'o'), ('$', 'o'), ('800atlanebryantithepast3years..', 'o')]"
7,order fit well.,"[('order', 'o'), ('fit', 'size'), ('well', 'o'), ('.', 'o')]"
8,order fit well.,"[('order', 'o'), ('fit', 'size'), ('well', 'o'), ('.', 'o')]"
9,order fit well.,"[('order', 'o'), ('fit', 'size'), ('well', 'o'), ('.', 'o')]"
10,my size was not available but the staff who was in charge was good.,"[('my', 'o'), ('size', 'size'), ('was', 'o'), ('not', 'o'), ('available', 'o'), ('but', 'o'), ('the', 'o'), ('staff', 'o'), ('who', 'o'), ('was', 'o'), ('in', 'o'), ('charge', 'o'), ('was', 'o'), ('good', 'o'), ('.', 'o')]"
