New_ID,input,output
1,want to purchase.,"[('want', 'neutral1'), ('to', 'neutral1'), ('purchase', 'neutral1'), ('.', 'neutral1')]"
2,the bra did not fit well.,"[('the', 'neutral1'), ('bra', 'neutral1'), ('did', 'neutral1'), ('not', 'neutral1'), ('fit', 'negative'), ('well', 'neutral1'), ('.', 'neutral1')]"
3,just wish the free shipping was a bit faster and that pieces could be exchanged in store if the size does not fit instead of losing the sale price of the item when having to reorder.,"[('shipping', 'positive'), ('store', 'neutral'), ('size', 'positive'), ('fit', 'negative'), ('sale', 'positive'), ('price', 'positive')]"
4,simple convenient shipping to stores for freefree returns to storesmerchandise great quality at good values.,"[('shipping', 'positive'), ('stores', 'neutral')]"
5,"ideally, i would like to return the two items that did not fit, for two more of the item that did fit, and could use help with this exchange.","[('return', 'neutral'), ('fit', 'negative'), ('fit', 'negative')]"
6,but when it does not fit the cost of shipping to get the product and return it is really expensive!.,"[('fit', 'negative'), ('shipping', 'positive'), ('return', 'negative')]"
7,bra quality was poor.,"[('bra', 'positive')]"
8,i was able to pick up my order and exchange due to wrong size ordered as well as take advantage of a sale going on.,"[('exchange', 'neutral'), ('size', 'neutral'), ('ordered', 'neutral'), ('sale', 'neutral')]"
9,just wish the free shipping was a bit faster and that pieces could be exchanged in store if the size does not fit instead of losing the sale price of the item when having to reorder.,"[('shipping', 'positive'), ('store', 'neutral'), ('size', 'positive'), ('fit', 'negative'), ('sale', 'positive'), ('price', 'positive')]"
10,"good deals, good value, very easy ordering process!.","[('good', 'neutra1'), ('deals', 'neutra1'), (',', 'neutra1'), ('good', 'neutra1'), ('value', 'positive')]"
11,they went out of their way to help me find what i was looking for!.,"[('looking', 'negative')]"
12,"good deals, good value, very easy ordering process!.","[('good', 'neutra1'), ('deals', 'neutra1'), (',', 'neutra1'), ('good', 'neutra1'), ('value', 'positive')]"
13,the bra was not fitting.,"[('fitting', 'negative')]"
14,the bra was not fitting.,"[('fitting', 'negative')]"
15,the staff was rude.,"[('the', 'neutra1'), ('staff', 'negative')]"
